абажур,"Колпак для лампы, светильника"
пядь,"Старинная русская мера длины, равная расстоянию между раздвинутыми большим и ук азательным пальцами"
пялиться,"1) Синоним слова пялить глаза
2) Высовываться, тянуться куда-нибудь"
пясть,Часть кисти 2 между запястьем и основными фалангами пальцев (у животных - часть передней пятипалой конечности)
пята,"1) (в устойчивых сочетаниях с предлогами). пятка, а также ступня
2) Obs. вне устойчивых сочетаний с предлогами пятка, а также ступня"
пятачок,"1) Монета или сумма в 5 копеек
2) Круглый кончик рыла у свиньи, кабана, медведя и некоторых других животных
3) Маленькая круглая площадка
4) А также вообще тесное, ограниченное пространство"
пятерик,"Старая русская мера в пять единиц веса или длины, а также предмет, содержащий п ять каких-нибудь единиц"
пятерка,"1) Цифра 5
2) Название чего-нибудь, содержащего пять единиц, например группы из пяти человек или пре дметов игральной карты в пять очков
3) Название чего-нибудь, обозначенного цифрой 5
4) Пять рублей
5) Школьная отметка ""отлично""
6) Школьная отметка ""отлично"", а также вообще учебная отметка ""отлично"""
пятеро,"1) С существительными, имеющими обычно мн. ч.: пять предметов
2) С некоторыми существительными, обозначающими предметы, существующие или носимые в паре: пять пар
3) С существительными мужского рода, обозначающими лиц, с личными местоимениями мн. ч. и без зависимого слова: количество пять"
пяти...,"1) Первая часть сложных слов со знач. относящийся к пяти или к пятому
2) Первая часть сложных слов со знач. содержащий пять каких-нибудь единиц, состоящий из пяти единиц"
пятиборец,"1) Спортсмен, участвующий в пятиборье
2) Спортсмен, участвующий в пятиборье, а также спортсмен, занимающийся современным пятиборьем"
пятигодичный,Продолжительностью в пять лет
пятидесятилетие,"1) Годовщина события бывшего пятьдесят лет тому назад
2) Срок в пятьдесят лет"
пятидесятилетний,"Существующий или просуществовавший, проживший пятьдесят лет"
пятиклассник,Ученик пятого класса
пятикратный,"Повторяющийся пять раз, увеличенный в пять раз"
пятилетие,Срок в пять лет
пятилетний,"1) От слова пятилетие
2) Существующий или просуществовавший, проживший пять лет"
пятиминутка,"Кушанье, приготовляемое очень быстро"
пятирублевка,Денежный знак достоинством в пять рублей
пятисотлетие,"1) Годовщина события, бывшего пятьсот лет тому назад
2) Срок в пятьсот лет"
пятисотлетний,Существующий или просуществовавший пятьсот лет
пятитонка,Грузовой автомобиль грузоподъемностью в пять тонн
пятитысячный,"1) Ordin пять тысяч
2) Ценою в пять тысяч"
пятиться,"Медленно идти назад, повернувшись спиной по направлению к движению"
пятиугольник,"Геометрическая фигура, ограниченная пятью пересекающимися прямыми, образующими пять внутренних углов, а также всякий предмет такой формы"
пятичасовой,"1) Назначенный на пять часов
2) Продолжительностью в пять часов"
пятка,"1) Задняя часть ступни
2) Задняя часть ступни, а также часть чулка или обуви, закрывающая ее"
пятнать,"1) В игре в пятнашки: салить
2) Позорить, бесчестить
3) Оставлять пятна на чем-нибудь"
пятнистый,"С пятнами, по цвету отличающимися от основной окраски"
пятно,"1) Нечто позорящее, крайне неприятное
2) Место иной окраски на какой-нибудь поверхности
3) Место место, запачканное чем-нибудь"
пятый,"1) От слова пять
2) Получаемый делением на пять"
пять,"Число, цифра и количество 5"
пятьсот,Число и количество 500
раб,"1) Человек, который целиком подчинил комучему-нибудь себя, свою волю, поступки
2) Зависимый, угнетенный в условиях эксплуататорского общества человек
3) В рабовладельческом обществе: человек, лишенный всех прав и средств производства и являющийся полной собственностью владельца, распоряжающегося его трудом и жизнью"
рабкор,Сокращение: рабочий корреспондент - нештатный коррреспондент (первое определение) из рабочей среды
рабовладение,Владение рабами (первое определение)
раболепствовать,"Вести себя раболепно, быть раболепным"
работа,"1) Продукт труда, готовое изделие
2) Процесс превращения одного вида энергии в другой spec; вообще нахождение в действии
3) Занятие, труд, деятельность
4) Материал, подлежащий обработке, находящийся в процессе изготовления
5) Качество, способ исполнения
6) Производственная деятельность по созданию, обработке чего-нибудь"
работать,"1) Иметь где-нибудь какое-нибудь постоянное занятие, должность, служить
2) Заниматься чем-нибудь, применяя свой труд, осуществлять какую-нибудь деятельность
3) Находиться в действии, в работе (первое определение)
4) Приводить в действие, управлять чем-нибудь"
работник,"1) Человек работающий в какой-нибудьсфере трудовой деятельности
2) Человек, который работает, трудится
3) Obs рабочий у частного нанимателя"
работница,От слова работник
работорговец,Торговец рабами
работоспособный,"1) Синоним слова трудоспособный
2) Обладающий способностью много и производительно работать"
работяга,"Рабочий человек, простой труженик"
рабочий,"1) 1 в социалистическом обществе: человек, занимающийся производительным трудом и принадлежащий к рабочему классу, владеющему средствами производства совместно со всем народом и являющемуся самой передовой и организованной силой общества
2) 1 в капиталистическом обществе: наемный работник, лишенный средств производства эксплуатируемый буржуазией пролетарий
3) 2 предназначенный для работы используемый в какой-нибудьработе
4) 2 относящийся к начальной стадии работы, предварительный
5) 2 относящийся к рабочим 1, состоящий из рабочих 1, принадлежащий, свойственный им
6) 2 непосредственно выполняющий работу, осуществляющий определенное действие, производящий полезную работу
7) 2 служащий непосредственным руководством для проведения работы
8) 2 живущий своим трудом"
рабский,"1) От слова раб
2) Беспрекословный, слепо следующий чему-нибудь"
рабство,"1) Состояние полной зависимости, подчиненности
2) Рабовладельческий строй"
рабфаковский,Слушатель рабфака
раввин,"В иудаизме: служитель культа, духовный наставник, руководитель, религиозной общины"
равенство,"1) Положение людей в обществе, обеспечивающее их одиниковое отношение к средствам производства, одинаковые политические и гражданские права, равноправие
2) В математике: соотношение между величинами, показывающее, что одна величина равна другой"
равнина,"1) Ровная, без высоких холмов земная поверхность
2) Ровная, без высоких холмов земная поверхность, а также участок дная моря или океана без резких колебаний высот"
равно,"Одинаково, так же"
равно...,"Первая часть сложных слов со знач. одинаково, сходно"
равновеликий,"Равный по силе, возможностям, значению"
равновесие,"1) Состояние спокойствия, уравновешенности в настроении, в каких-нибудь отношениях
2) Устойчивое соотношение между чем-нибудь"
равноденствие,"Время в году, когда продолжительность дня и ночи одинакова"
равнодушный,"Не питающий склонности, пристрастия к комучему-нибудь"
равномерный,"Одинаковый, постоянный в каком-нибудь отношении"
равноправный,Обладающий одинаковыми с кем-нибудь правами
равностронний,Имеющий равные стороны
равный,"Одинаковый, совершенно сходный, такой же (по величине, значению, качеству, правам)"
равнять,"Сопоставляя, давать кому-чему-нибудьравную оценку"
равняться,"1) Следовать чьему-нибудь примеру
2) Становиться по прямой линии в строю
3) 3! быть равным чему-нибудь"
рад,"1) О чувстве радости, удовольствия по какому-нибудь поводу
2) О чувстве сожаления, недовольства тем, что сделал сам
3) Об охоте, готовности, желании сделать что-нибудь"
радетель,"Человек, который радеет кому-нибудь, покровитель"
радеть,"Оказывать содействие, заботиться о ком-чем-нибудь"
раджа,"Княжеский титул в индии, а также лицо, имеющее этот титул"
ради,"1) С целью, в целях чего-нибудь
2) Для кого-чего-нибудь, в интересах кого-чего-нибудь"
радиатор,"1) Аппарат для охлаждения в двигателях внутреннего сгорания, в полупроводниковых приборах
2) Нагревательный прибор в системах отопления"
радий,"Химический элемент - металл, обладающий радиоактивными свойствами"
радикал,"1) 1 сторонник радикализма (первое определение)
2) 2 устойчивая группа атомов в молекуле, переходящая без изменения из одного химического соединения в другое
3) 2 в математике: знак (v), обозначающий извлечение корня из числа или математического выражения, которое стоит под этим знаком"
радикализм,Решительный образ действия
радикулит,Заболевание корешков спинномозговых нервов
радио,"1) Способ передачи на расстояние и приема звуков, сигналов при помощи электромагнитных волн, распространяемых специальными станциями
2) Учреждение, осуществляющее такие передачи
3) Область науки и техники, относящаяся к таким передачам и приемам
4) Устройство для приема звуковых вещательных передач
5) Первая часть сложных слов со знач. относящися к радио, к радиовещанию, радиопередачам
6) Первая часть сложных слов со знач. относящийся к радиоактивности, к радиации"
радиоактивный,Обладающий радиоактивностью
радиоволна,"Электромагнитная волна, используемая для беспроволочной передачи сигналов на расстояние"
радиола,"Аппарат, соединяющий в себе радиоприемник и проигрыватель"
радиолокация,"Обнаружение, распознавание, определение местонахождения различных объектов с помощью радиоволн"
радиопередатчик,"Аппарат для передачи звуков, сигналов по радио"
радиоперехват,Способ радиоразветки - обнаружение и расшифровка радиосигналов противника
радиосвязь,"Связь, осуществляется по радио"
радиоспорт,"Технический вид спорта - установление любительской радиосвязи на кв и укв, соревнования по радиопеленгации"
радиостанция,"Оборудованное специальной аппаратурой учреждение, осуществляющее радиопередачи"
радиотелефон,Система связи для передачи речевых сообщений посредством радиоволн
радиотехник,"Специалист, занимающийся установкой и ремонтом радиоаппаратуры"
радиотехника,Наука об электромагнитных колебаниях высокой частоты и радиоволнах
радиоузел,Местная радиотрансляционная станция
радиоэлектроника,"Общее название отдельных отраслей науки и техники, развившихся из электроники и радиотехники"
радировать,Сообщить (-щать) по радио
радиус,"1) Охват, область распространения чего-нибудь
2) В математике: отрезок прямой, соединяющий центр шара или круга с любой точкой сферы или окружности
3) Отрезок прямой, соединяющий центр шара или круга с любой точкой сферы или окружности, а также в математике: длина этого отрезка"
радоваться,"Испытывать радость, предаваться радости"
радостный,"1) Полный радости, веселья, выражающий радость
2) Доставляющий радость"
радость,"1) Радостное, счастливое событие, обстоятельство
2) Веселое чувство, ощущение больного душевного удовлетворения"
радужный,"1) От слова радуга
2) Приятный, сулящий радость, счастье"
радушный,"Исполненный радушия, выражающий радушие"
раек,Obs театральная галерка
раешник,Синоним слова раек (первое определение)
раз,"1) 1 при подсчете (о количестве) один
2) 1 обозначение однократного действия (при подсчете, указании на количество)
3) 1 случай, явление в ряду однородных (повторяющихся или возможных) действий, проявлений чего-нибудь
4) 1...i образует глаголы со знач. всесторонности действия +
5) 1...i образует глаголы со знач. деления на части, распределения по частям, по местам, по поверхности +
6) 1...i образует глаголы вместе с постфиксом -ся: со знач. направления движения многих в разные стороны +
7) 1...i образует глаголы вместе с постфиксом -ся: со знач. начала длительного и интенсивного действия +
8) 1...i образует глаголы со знач. обратного действия +
9) 1...i образует глаголы вместе с постфиксом -ся или без него: со знач. прекращения действия, состояния +
10) 1...i образует глаголы со знач. собственно предела действия +
11) 1...i образует глаголы со знач. усиления, напряженности, интенсивности в проявлении действия +
12) 1...ii образует существительные со знач. разделения, расхождения +
13) 2 однажды, один раз
14) Означает высшую степень признака
15) 3 синоним слова если (первое определение)
16) 4 удар, оплеуха
17) 4 обозначать резкое и неожиданное действие"
разагитировать,"Отговорить, разубедить"
разбавить,"Прибавить чего-нибудь, сделать менее крепким, более жидким"
разбаливаться,1-2 от слова разболеться 1 - 2
разбаловаться,Синоним слова расшалиться
разбалтываться,1-2 от слова разболтаться 1
разбежаться,"1) 3! о многих: бегом направиться в разные стороны
2) Синоним слова разлететься (шестое определение)
3) 3! о мыслях: утратить спосбность сосредоточиться на чем-нибудь
4) Пробежав некоторое пространство, усилить бег
5) Пробежав некоторое пространство, усилить бег, а также пробежать некоторое пространство, приготовляясь к прыжку"
разбинтовать,"Развязать, размотать бинт на ком-чем-нибудь"
разбирать,"1) Критически обсуждать (чье-нибудь поведение, проступки)
2) Выбирая, разборчиво, подробно рассматривать
3) От слова разобрать"
разбираться,Знать толк в чем-нибудь
разбитной,"Obs бойкий и развязный, а также расторопный"
разбить,"1) Победить, нанеся поражение
2) От слова бить
3) Разделить, расчленить
4) Повредить, разрушить, нарушить
5) Планируя, устроить
6) Планируя, устроить, а также вообще расположить что-нибудь"
разбиться,"1) Pl разделиться на части, группы
2) Сильно ушибиться, пораниться
3) Сильно ушибиться, пораниться, а также погибнуть, упав с высоты"
разбогатеть,От слова богатеть
разбойник,"1) (обычно в обращении) шалун, баловник, негодник
2) Человек, который занимается разбоем, грабитель"
разболеться,"1) 1 сильно, надолго заболеть
2) 2 начать сильно болеть 2"
разболтанный,"Недисциплинированный, несобранный"
разболтать,"1) 1 размещать, взбалтывая
2) 1 ослабить, сделать неустойчивым, болтающимся
3) 2 рассказать всем, повсюду (что-нибудь тайное), разгласить"
разболтаться,"1) 1 3! размешаться при взбалтывании
2) 1 3! ослабнуть, расшататься
3) 2 начав болтать, говорить не переставая"
разбор,"1) От слова разобрать
2) Obs сорт, качество
3) Выбор, отбор, разборчивое отношение к кому-чему-нибудь"
разборный,"1) Такой, который можно разобрать и вновь, поддающийся разборке
2) От слова разобрать"
разборчивый,"Строгий в выборе, требовательный"
разбранить,"Сильно выбранить, а также раскритиковать"
разбрасывать,От слова разбросать
разбрасываться,"1) От слова разбросаться
2) Синоним слова бросаться (третье определение)"
разброд,"Разлад, разногласие"
разбросать,"1) Разместить в разных местах далеко друг от друга
2) Бросая, разместить по поверхности равномерно или в беспорядке в разных направлениях"
разбросаться,Разложить вокруг себя в беспорядке свои вещи
разбрызгать,"Брызгая, израсходовать"
разбрюзжаться,"Начав брюзжать, продолжать не переставая"
разбухнуть,"3! сильно увеличиться, разрастить"
разбуяниться,"Начать буянить, прийти в буйство"
развал,"1) Открытая торговля старыми вещами, книгами (обычно разложенными прямо на земле)
2) Полное расстройство, беспорядок, разруха, упадок
3) От слова развалить, -ся"
развалина,"1) Остатки разрушенного строения, поселения
2) О дряхлом или разбитом болезнью человеке"
развалить,"Разрушая, повалить или раскидать"
развалиться,"1) 3! повалившись, рассыпаться, распасться
2) Сесть, небрежно раскинув руки и ноги"
развалять,Раскатать пластом
развариться,"Варясь, стать совсем мягким или чересчур мягким"
разве,"1) Colloq. выражает допущение, возможность +
2) Colloq. выражает колебание, неуверенность +
3) Употр. при вопросе употр. в знач. так ли, правда ли
4) В случае, если не, если только не
5) Colloq. употр. в знач. может быть только"
развевать,Движением воздуха разносить в разные стороны
развед...,"1) Первая часть сложных слов со знач. относящийся к разведке (первое определение)
2) Первая часть сложных слов со знач. относящийся к разведке (второе определение)
3) Первая часть сложных слов со знач. относящийся к разведке (четвертое определение)"
разведать,Синоним слова разузнать
разведка,"1) Организация, ведающая специальным изучением экономической и политической жизни других стран, их военного потенциала
2) Действия, осуществляемые войсковыми группами, подразделениями, дозорами для получения сведений о противнике и занимаемой им местности
3) Обследование чего-нибудь со специальной целью
4) Войсковая группа, подразделение, осуществляющее такие действия"
разведчик,"1) Самолет или корабль, ведущий разведку (опред. 1/2)
2) Военнослужащий разведки (в 3 занч.); тот, кто идет в разведку (второе определение)
3) Специалист по разведке недр, полезных ископаемых
4) Сотрудник, работник разведки (четвертое определение)"
развезти,"1) 2 (о пути) сделать грязным, мало пригодным для езды
2) 2 излагая, рассказывая, слишком растянуть pejor
3) 2 привести в состояние слабости, изнеможения"
развередить,От слова вередить
разверзнуться,"Широко раскрыться, раздвинуться"
развернуть,"1) (свернутое, завернутое, сложенное) раскрыть
2) Организовать, открыть (какое-нибудь временное учреждение, пункт)
3) Синоним слова повернуть (второе определение)
4) Расположить, установить в определенной позиции, привести в боевой порядок
5) Перен. проявить, осуществить в полной мере, в широких размерах
6) Выпрямить и развести в стороны"
развернуться,"1) Повернуться, сделать поворот
2) Проявить себя осуществиться в полной мере, в широких размерах
3) 3! быть видимым на большом расстоянии, вширь и вдаль
4) 3! о чем-н. свернутом, завернутом, сложенном: раскрыться"
разверстка,"1) Плановое распределение кого-чего-нибудь; документ о таком распределении
2) От слова резверстать"
развертеть,"1) Вертя, расширить (дыру, отверстие)
2) Повертев, привести в круговое движение
3) Вертя, ослабить, развинтить"
развертеться,"1) Расшириться от верчения
2) Начать быстро вращаться"
развертка,"От слова развернуть, -ся и развертеть"
развеселиться,"Стать веселым, прийти в веселое настроение"
развесить,"1) 1 разделить на части по весу
2) 1 широко раскинуть, распустить
3) 1 синоним слова развешать"
развести,"1) 1 расторгнуть чей-нибудь брак 1
2) 1 ведя, доставить (многих) в разные места
3) 1 направить части чего-нибудь в разные стороны
4) 1 синоним слова разъединить
5) 2 синоним слова растворить 2 (первое определение)
6) 3 разжечь, довести до нужной степени (пары, огонь)
7) 3 начать делать что-нибудь длительное, нудное, неприятное
8) 3 дать расплодиться кому-нибудь, разрастись чему-нибудь"
развестись,"2 расплодиться, размножиться"
разветвиться,"1) Образовать ответвления (третье определение) стать разветвленным
2) Разойтись из одного места в разные стороны ветвями, подобно ветвям"
разветвление,"1) Место, где что-нибудь разветвляется, расходится в разные стороны
2) От слова разветвить, -ся"
развешать,Повесить по разным местам
развеять,"1) 3! разбросать, разнести в стороны (ветром, дуновением)
2) Уничтожить, рассеять"
развеяться,"1) 3! рассеятся (четвертое определение) исчезнуть
2) Отвлечься от забот, дум, развлечься"
развилина,"Разветвление на конце сука, ствола"
развилка,Синоним слова разветвление (второе определение)
развинтиться,"1) 3! ? ослабнуть в соединениях (о свинченном), отвинтиться
2) Утратить выдержку, дисциплинированность, собранность; растроиться"
развинченный,"Не умеющий вести себя выдержанно, дисциплинированно, разболтанный"
развитие,"1) Степень сознательности, просвещенности, культурности
2) Процесс закономерного изменения, перехода из одного состояния в другое, более совершенное; переход от старого качественного состояния к новому, от простого к сложному, от низшего к высшему"
развитой,Достигший высокой степени развития
развить,"1) 2 дрвести до определенной степени духовной, умственной зрелости, сознательности, культурности
2) 2 усилить, дать чему-нибудь окрепнуть, укрепиться
3) 2 распространить, расширить, углубить содержание или применение чего-нибудь
4) 2 довести до определенной степени силы, мощности, совершенства, поднять уровень чего-нибудь
5) 2 предпринять что-нибудь с широким размахом, с энергией развернуть что-нибудь"
развиться,"1) 2 3! дойти до высокой степени силы, мощности, совершнства
2) 2 создать духовно, умственно, стать сознательнее, культурнее
3) 2 3! усилиться, дойти до значительной степени
4) 2 стать сильнее, окрепнуть, укрепиться"
развлекательный,Доставляющий только развлечение без глубокого содержания
развлечение,"1) Занятие, времяпрепровождение, доставляющее удовольствие, развлекающее
2) От слова развлечь, -ся"
развлечь,"Занимая чем-нибудь, отвлечь от каких-нибудь мыслей, переживаний"
развлечься,"Повеселиться, провести приятно и весело время"
развод,"1) 2 от слова развести 3
2) 3 расторжение, расторгнутость брака 1
3) 3 от слова развести 1, -сь 1"
разводиться,1-2-3 от слова развестись 1-2
разводной,От слова развести 1
разводы,"Пятна, потеки"
разводящий,"Военнослужащий, осуществляющий развод 1, проверку, смену, постов"
развоз,От слова развести 1
развозиться,Поднять шумную и продолжительную возню
развозной,От слова развести 1
разволноваться,Сильно взволноваться
разворачиваться,От слова развернуться
разворот,"1) Две смежные страницы раскрытой книги, журнала, тетради
2) От слова развернуть, -ся"
разворотный,"От слова развернуть, -ся и разворот"
разворчаться,"Начав ворчать, продолжать не переставая"
разврат,Половая распущенность
развратить,"1) Испортить, довести до полного разложения
2) Приучить к разврату (первое определение)"
развратиться,Приучиться к разврату (первое определение)
развратничать,"Быть развратником, предаваться разврату (первое определение)"
развращенность,"Развратный образ мыслей, поведения"
развязать,"1) (о потоках транспорта) направить в стороны, расчленить, распределить
2) Разъединить (концы связанного), освободить от завязки
3) Дать возможность свободно действовать, освободить от каких-нибудь обязательств
4) Уничтожив препятствия, дать возможность развиться чему-нибудь"
развязаться,"Освободиться от того, кто (что) лишает свободы действия, связывает (седьмое определение)"
развязка,"1) Конец, завершение (обычно решительное, действенное) каких-нибудь сложных событий, ситуаций; заключительная часть драматического или иного литературного произведения
2) От слова развязать, -ся"
разгадать,"1) Найти правильный ответ на загадку, загаданное
2) Понять смысл, уясеить характер кого-чего-нибудь"
разгадка,От слова разгадать
разгар,"1) О горении, свечении: полная сила
2) Наиболее полное проявление, наивысшая точка в развитии чего-нибудь"
разгиб,"От слова разогнуть, -ся"
разгибаться,От слова разогнуться
разгильдяй,"Нерадивый, небрежный в делах, разболтанный человек"
разгильдяйство,Поведение разгильдяя
разгладить,"Расправить, сделать гладким, уничтожить складки, неровности на чем-нибудь"
разгладиться,"(о складках, неровностях на чем-нибудь) расправиться, уничтожиться"
разгласить,"Всем, повсюду объявить, рассказать о чем-нибудь, распространить что-нибудь"
разгневанный,"Находящийся в гневе, выражающий гнев"
разгневаться,Прийти в состояние сильного гнева
разговеться,У верующих: по прошествии поста 1 поесть скоромной пищи
разговор,"1) Толки, пересуды
2) Обсуждение чего-нибудь"
разговорить,Отговорить от чего-нибудь
разговориться,"Завязать беседу, разговор с кем-нибудь"
разговорник,"Пособие для общения с иностранцами - двуязычное (или многоязычное) образцы диалогов на определенные, обычно обиходные темы, с краткими словариками"
разговорный,"1) Имеющий характер диалога
2) От слова разговор"
разговорчик,"1) От слова разговор
2) Праздный, пустой или вредный разговор"
разгон,"1) Выговор, взбучка, разнос (второе определение)
2) От слова разогнать, -ся"
разгонистый,"(о почерке, письме, печатном тексте) неубористый"
разгонять,От слова разогнать
разгореться,"1) 3! усиливаясь, дойти до высокой степени напряжения, развития
2) Начать сильно гореть (опред. 1/2/4/5)"
разгородиться,"Отделиться друг от друга оградой, перегородкой"
разгорячиться,"1) Почувствовать возбуждение, жар
2) От слова горячиться"
разграничить,"1) Точно определить, отделив одно от другого
2) Разделить, обозначая границы"
разгрести,"Отгребая что-нибудь в стороны, рассtпать, разрыть"
разгром,От слова разгромить
разгромить,"Громя, полностью победить или уничтожить, а также подвергнуть уничтожающей критике"
разгрузить,"1) Синоним слова сгрузить
2) Освободить от чего-нибудь чрезмерного, от части обязанностей"
разгрузиться,"Освободиться от чего-нибудь чрезмерного, от части обязанностей"
разгрызать,"Грызть, раздробляя, расчленяя"
разгул,"1) Ничем не сдерживаемое проявление чего-нибудь (обычно отрицательного)
2) Безудержное пьянство, кутеж
3) От слова разгуляться"
разгуливать,"1) Непринужденно прогуливаться
2) А также вообще проводить время где-нибудь, чувствуя себя свободно и независимо"
разгульный,"Предавшийся буйному веселью, разгулявшийся (четвертое определение)"
разгуляться,"1) Развлечь, развеселить (того, кто собирался уснуть, лечь спать)
2) 3! о пасмурной, дождливой погоде: стать яснее, лучше
3) Развлекшись, перестать хотеть спать
4) Предаться шумному веселью
5) Дать себе волю, начать действовать без ограничения"
раздаивать,От слова раздоить
раздарить,Раздать (многое) в качестве подарков
раздатчик,"Работник, занимающийся раздачей чнго-нибудь"
раздать,"2 растянуть, расширить"
раздаться,"1) 2 pl расступиться, раздвинуться в стороны
2) 2 потолстеть, пополнеть
3) 2 3! растянуться, расшириться"
раздваиваться,От слова раздвоиться
раздвинуть,"1) Двигая в разные стороны, расставить, разъединить, поставить врозь
2) Заставить расступиться
3) Расширить пределы, границы чего-нибудь"
раздвинуться,"Двигаясь в стороны, разъедениться, расступиться"
раздвоенный,Разделившийся надвое
раздвоиться,"1) Разделиться надвое
2) Утратить цельность, ясность, стать внутренне противоречивым"
